Iteration,BestCost,BestHardViolations,BestGapPenalty,BestUndesirablePenalty,AvgCost,WorstCost
0,20330,2,32,2,65302.5,140255
1,20330,2,32,2,56331.5,90165
2,20240,2,23,2,70279,140290
3,10385,1,37,3,66308.2,120395
4,10385,1,37,3,64806.2,140165
5,10385,1,37,3,71278,110095
6,10385,1,37,3,63819,120240
7,10175,1,16,3,63809,150155
8,10175,1,16,3,64835.2,110445
9,10175,1,16,3,72804.5,150155
10,10175,1,16,3,69803.8,120440
11,10175,1,16,3,67299,110270
12,10175,1,16,3,67307,90390
13,10175,1,16,3,64796.2,90330
14,10175,1,16,3,67274.8,100285
15,10175,1,16,3,70313.2,110250
16,10175,1,16,3,60321,140285
17,10175,1,16,3,74299.2,140250
18,10175,1,16,3,62810.8,130170
19,10175,1,16,3,64794.2,110230
20,10175,1,16,3,67293.2,130170
21,10175,1,16,3,61817.2,150230
22,10175,1,16,3,69796,120280
23,10175,1,16,3,66298.5,130130
24,10175,1,16,3,66806.2,130205
25,10175,1,16,3,68311.2,120400
26,10175,1,16,3,70273.5,120280
27,10175,1,16,3,73819.2,130320
28,10175,1,16,3,68294.8,140165
29,10175,1,16,3,73771,130260
30,10175,1,16,3,64800.5,150175
31,10175,1,16,3,69793.2,100375
32,10175,1,16,3,71330.8,120190
33,10175,1,16,3,79803.5,140180
34,10175,1,16,3,54823,110225
35,10175,1,16,3,73804.2,150225
36,10175,1,16,3,77788.5,140170
37,10175,1,16,3,60308.8,130350
38,10175,1,16,3,72840.5,120395
39,10175,1,16,3,62786.8,160340
40,10175,1,16,3,55347.5,140180
41,10175,1,16,3,67795.5,140335
42,10175,1,16,3,73281.8,130105
43,10175,1,16,3,66807.5,170255
44,10175,1,16,3,73779.5,130235
45,10175,1,16,3,68789.5,120275
46,10175,1,16,3,68836.5,100435
47,10175,1,16,3,75287.5,130200
48,10175,1,16,3,65807.2,110445
49,10175,1,16,3,57802.8,120220
50,10175,1,16,3,78319,170310
51,10175,1,16,3,68797,130270
52,10175,1,16,3,72813.2,120260
53,10175,1,16,3,63316.2,120360
54,10175,1,16,3,53278.2,90305
55,10175,1,16,3,57800,90315
56,10175,1,16,3,63303.2,160200
57,10175,1,16,3,60816.2,120290
58,10175,1,16,3,70833.5,110270
59,10175,1,16,3,73811.2,110305
60,10175,1,16,3,69280.5,150295
61,10175,1,16,3,63274.2,100315
62,10175,1,16,3,70824.5,140175
63,10175,1,16,3,65312.5,150405
64,10175,1,16,3,67825.8,120245
65,10175,1,16,3,65297.5,140265
66,10175,1,16,3,75790.8,120345
67,10175,1,16,3,66310,100330
68,10175,1,16,3,69817.5,110240
69,10175,1,16,3,67780.8,120460
70,10175,1,16,3,72346.5,130400
71,10175,1,16,3,68311.5,130310
72,10175,1,16,3,68801.5,150250
73,10175,1,16,3,63820.5,110300
74,10175,1,16,3,61797.8,120235
75,10175,1,16,3,73806.8,130370
76,10175,1,16,3,67310.2,150115
77,10175,1,16,3,62815.2,120435
78,10175,1,16,3,64305.2,140220
79,10175,1,16,3,70796.2,130160
80,10175,1,16,3,54824.2,100210
81,10175,1,16,3,59800,170255
82,10175,1,16,3,66791,100225
83,10175,1,16,3,74306,130175
84,10175,1,16,3,62777,100265
85,10175,1,16,3,59794.5,140275
86,10175,1,16,3,69776.2,90350
87,10175,1,16,3,67295,110240
88,10175,1,16,3,63288.2,110370
89,10175,1,16,3,59811.5,150265
90,10175,1,16,3,63808.2,140200
91,10175,1,16,3,69818.8,120340
92,10175,1,16,3,72763,130110
93,10175,1,16,3,76280.5,160230
94,10175,1,16,3,63813.2,120190
95,10175,1,16,3,60774.5,90415
96,10175,1,16,3,52799.8,90325
97,10175,1,16,3,58268.5,130320
98,10175,1,16,3,56279.5,110170
99,10175,1,16,3,62259.8,110245
