Course,Room,Day,Period,Timeslot
8,0,3,3,30
33,6,3,1,28
20,8,4,7,43
16,7,3,2,29
28,2,4,4,40
19,5,2,0,18
6,8,0,5,5
40,1,4,1,37
14,6,4,8,44
31,8,2,4,22
11,7,1,5,14
44,9,1,4,13
29,2,3,6,33
21,5,2,4,22
12,0,3,5,32
7,0,4,3,39
25,9,3,5,32
49,6,4,7,43
35,4,3,7,34
24,6,4,0,36
23,8,4,3,39
47,2,0,2,2
32,5,3,2,29
30,5,2,5,23
38,2,1,1,10
42,4,4,0,36
26,6,2,0,18
1,2,1,1,10
43,7,1,1,10
17,0,2,1,19
48,2,2,2,20
18,8,0,8,8
36,3,1,0,9
15,5,3,3,30
34,0,2,6,24
2,8,2,8,26
45,0,4,4,40
13,8,2,2,20
9,5,2,3,21
46,3,3,4,31
10,8,2,4,22
3,0,4,1,37
27,5,4,8,44
5,2,2,8,26
22,6,1,0,9
39,7,4,3,39
41,6,0,3,3
0,6,2,1,19
37,6,2,3,21
4,8,4,6,42
